Station Name: DUBLIN AIRPORT
Station Height: 71 M 
Latitude:53.428  ,Longitude: -6.241


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1967,1,5.4,12.8,-2.9,7.7,3.0,48.5,-3.7,9.4,44,57.0
1967,2,5.7,12.5,-0.7,8.1,3.2,83.8,-3.8,12.9,64,84.7
1967,3,6.8,15.8,-0.9,10.0,3.6,26.4,-4.0,16.9,57,145.8
1967,4,8.6,20.2,0.7,12.3,5.0,33.9,-3.9,11.1,48,166.0
1967,5,8.9,18.0,-0.2,12.0,5.8,129.4,-4.8,10.4,51,145.3
1967,6,13.8,22.7,5.2,18.0,9.6,11.4,2.7,6.8,38,191.5
1967,7,15.4,21.9,8.5,19.0,11.7,83.7,6.7,7.4,36,122.7
1967,8,14.3,20.7,5.6,17.9,10.8,64.3,4.2,7.8,39,145.5
1967,9,12.9,18.7,5.6,16.4,9.5,115.5,3.5,9.6,54,136.5
1967,10,9.8,17.5,1.1,13.0,6.6,94.4,-1.4,13.3,55,102.0
1967,11,6.2,13.4,-1.7,9.4,3.1,45.7,-3.8,9.4,44,81.2
1967,12,5.3,14.0,-4.5,7.7,2.9,45.5,-6.4,11.8,48,55.8
1968,1,5.7,13.6,-1.4,8.1,3.3,96.1,-3.9,12.3,70,48.7
1968,2,3.2,8.2,-3.9,5.9,0.6,15.9,-8.0,8.6,44,115.6
1968,3,6.4,13.8,-0.9,10.0,2.9,41.5,-4.0,12.2,52,119.0
1968,4,7.3,15.5,-3.7,11.0,3.7,58.6,-7.4,9.2,45,171.5
1968,5,9.2,19.6,1.6,13.0,5.4,51.8,-1.6,7.3,38,191.3
1968,6,13.8,22.5,5.6,17.7,9.9,51.4,2.7,6.6,36,236.6
1968,7,14.2,22.5,8.1,17.6,10.8,15.9,5.8,5.8,34,173.2
1968,8,15.0,23.9,6.7,18.7,11.3,106.6,5.0,7.0,33,198.5
1968,9,13.5,21.0,7.5,16.5,10.4,103.5,2.9,9.7,48,142.0
1968,10,12.5,19.0,5.4,15.1,9.9,59.8,1.8,9.1,49,69.2
1968,11,8.1,14.6,-1.1,10.1,6.2,78.8,-6.4,10.8,47,41.7
1968,12,5.2,12.5,-1.9,7.4,3.1,109.1,-6.2,9.5,51,47.9
1969,1,5.6,13.3,-6.1,7.9,3.3,105.4,-7.4,10.1,56,44.6
1969,2,2.1,8.6,-6.2,4.5,-0.4,41.8,-10.9,11.6,52,91.3
1969,3,4.4,11.6,-1.2,6.6,2.2,46.9,-7.8,9.3,44,86.4
1969,4,7.7,17.6,-0.4,11.5,3.8,62.3,-4.9,9.5,51,198.5
1969,5,10.4,18.5,2.2,13.6,7.2,111.2,-0.5,6.6,29,156.5
1969,6,13.0,20.4,4.7,16.8,9.3,46.4,0.8,6.6,35,240.7
1969,7,16.0,25.2,7.1,19.9,12.1,43.8,5.2,7.9,37,216.5
1969,8,15.2,23.1,6.9,18.7,11.7,34.1,5.2,7.4,37,153.6
1969,9,13.0,20.5,2.6,16.5,9.5,44.9,0.2,7.0,47,115.7
1969,10,13.1,20.2,2.3,16.1,10.0,11.1,0.2,9.1,43,89.1
1969,11,5.1,17.0,-2.0,8.1,2.0,90.0,-6.7,11.2,45,85.6
1969,12,4.9,12.6,-3.7,7.6,2.2,63.5,-8.0,11.0,43,52.4
1970,1,4.8,12.3,-6.5,7.2,2.5,62.5,-10.0,10.4,46,43.9
1970,2,3.9,11.8,-2.9,6.8,1.0,60.4,-7.4,12.1,62,108.6
1970,3,4.9,13.7,-2.4,8.3,1.5,32.5,-4.9,12.6,48,137.6
1970,4,7.0,16.3,-2.1,10.8,3.2,85.3,-4.3,11.9,42,150.4
1970,5,12.3,20.0,6.9,15.9,8.8,13.2,3.1,9.6,39,160.9
1970,6,15.1,24.1,9.1,18.7,11.5,31.6,5.1,7.1,42,203.0
1970,7,14.6,22.8,6.2,18.7,10.5,68.2,4.0,10.4,40,167.9
1970,8,14.7,23.5,6.7,18.4,11.0,68.3,4.4,6.7,56,141.7
1970,9,13.4,21.1,5.4,16.8,10.1,53.8,1.9,9.6,52,113.0
1970,10,10.8,17.8,3.3,13.8,7.8,59.2,0.5,12.1,56,92.8
1970,11,7.6,15.4,-0.4,10.2,5.0,128.0,-5.2,11.4,64,65.3
1970,12,5.6,12.6,-2.7,8.1,3.2,50.6,-5.0,10.1,44,57.5
1971,1,6.0,16.6,-3.7,8.5,3.4,39.4,-6.3,10.4,50,53.4
1971,2,5.9,11.1,-2.7,8.3,3.4,39.7,-5.8,8.9,50,65.4
1971,3,5.9,12.2,0.5,8.8,3.1,78.8,-4.3,9.2,47,83.5
1971,4,7.7,15.1,0.7,10.9,4.6,52.4,-3.0,7.5,42,165.1
1971,5,10.4,19.7,3.0,14.2,6.7,34.0,-2.1,6.8,36,190.4
1971,6,12.3,20.2,3.9,15.5,9.1,71.8,1.8,8.2,36,169.3
1971,7,15.7,23.8,5.4,19.7,11.8,62.8,1.8,6.9,32,226.7
1971,8,14.7,21.3,7.2,18.1,11.3,66.9,5.5,8.2,38,113.5
1971,9,14.7,22.3,5.1,18.5,10.9,27.0,2.1,6.7,35,171.3
1971,10,12.6,21.2,3.7,15.6,9.7,34.4,-1.4,11.0,49,118.2
1971,11,7.2,16.2,-1.8,10.6,3.7,48.0,-4.8,12.2,43,78.0
1971,12,7.8,14.7,-0.1,9.9,5.7,36.4,-1.7,13.0,48,31.1
1972,1,4.9,12.1,-8.8,7.4,2.5,110.6,-14.0,12.5,51,42.8
1972,2,5.6,10.3,0.7,7.9,3.4,59.7,-7.2,11.4,57,65.6
1972,3,6.4,14.0,0.0,9.4,3.3,50.1,-4.4,11.5,54,117.9
1972,4,8.5,17.1,1.9,11.7,5.2,49.2,-2.2,12.1,46,173.8
1972,5,10.1,16.7,3.1,13.1,7.0,66.7,0.1,12.1,56,163.1
1972,6,11.3,18.4,5.1,14.8,7.9,58.6,1.9,9.8,39,149.4
1972,7,14.9,22.8,7.0,18.4,11.3,41.1,4.8,6.7,32,184.0
1972,8,13.9,20.7,6.5,17.6,10.1,24.0,3.6,8.0,35,167.3
1972,9,12.2,22.6,2.4,16.1,8.2,7.5,-0.5,6.6,31,167.0
1972,10,11.3,17.5,1.4,14.3,8.3,40.8,-1.2,9.5,45,112.6
1972,11,6.3,16.0,-3.4,9.2,3.5,78.2,-6.4,12.2,53,83.3
1972,12,7.3,14.4,-1.5,10.0,4.6,82.6,-6.4,13.4,52,50.9
1973,1,6.6,12.9,-4.4,8.6,4.6,52.2,-8.4,12.0,56,36.2
1973,2,5.4,11.7,-4.0,7.9,3.0,32.5,-6.7,12.6,56,88.4
1973,3,6.9,16.9,-0.8,10.5,3.2,11.1,-6.4,9.3,41,136.0
1973,4,7.3,15.7,-2.5,10.8,3.8,48.1,-6.5,11.6,46,150.3
1973,5,10.6,17.2,1.5,14.0,7.2,70.9,-1.5,10.0,48,158.4
1973,6,14.3,23.2,3.9,18.3,10.2,20.2,1.6,7.9,36,226.0
1973,7,14.8,24.2,6.3,18.4,11.2,72.8,3.9,7.6,36,148.1
1973,8,15.2,22.8,7.1,18.9,11.5,108.9,2.6,7.0,49,163.0
1973,9,13.5,22.5,4.9,16.9,10.1,76.2,2.4,7.7,52,157.3
1973,10,10.0,16.4,0.2,12.7,7.3,59.2,-2.5,8.2,42,85.0
1973,11,6.9,14.6,-1.9,9.8,4.0,60.8,-4.7,9.6,44,74.0
1973,12,5.8,12.2,-2.0,8.6,3.1,72.7,-6.0,11.3,43,57.8
1974,1,7.0,12.8,0.0,10.0,4.0,81.4,-3.7,14.6,75,65.5
1974,2,5.9,11.7,-0.6,8.3,3.4,50.9,-6.5,10.7,52,67.0
1974,3,6.2,13.8,-1.1,9.0,3.4,31.7,-5.1,9.6,49,104.4
1974,4,7.9,14.4,0.5,11.5,4.4,43.4,-3.9,6.0,31,204.6
1974,5,10.2,17.6,2.7,13.5,7.0,87.6,-1.8,10.1,48,162.9
1974,6,12.7,21.7,4.3,16.6,8.8,39.5,2.9,9.0,50,207.9
1974,7,14.3,22.3,7.0,18.2,10.3,99.7,5.2,10.7,48,167.1
1974,8,14.4,21.5,5.7,18.1,10.6,30.2,4.2,8.6,41,165.0
1974,9,11.1,18.0,1.7,14.6,7.7,116.0,0.7,10.5,47,118.6
1974,10,7.9,13.4,0.6,11.0,4.8,26.6,-0.5,11.1,44,108.7
1974,11,6.4,13.3,-2.4,9.3,3.5,57.7,-3.5,12.3,63,80.3
1974,12,8.3,13.9,0.9,10.8,5.8,37.9,-1.4,17.1,60,52.6
1975,1,6.6,12.8,-1.3,9.6,3.7,82.6,-2.8,15.1,55,57.9
1975,2,6.3,12.1,1.4,8.6,4.1,26.2,-4.9,9.1,38,82.9
1975,3,5.5,12.7,-2.2,8.3,2.6,43.3,-3.4,10.7,40,131.2
1975,4,8.5,19.2,-1.7,12.0,4.9,42.8,-3.4,9.7,42,154.3
1975,5,9.4,19.5,1.7,13.1,5.7,43.4,-2.7,7.1,35,255.8
1975,6,14.0,23.5,2.4,18.3,9.6,14.9,0.0,6.7,48,253.7
1975,7,16.4,23.6,9.0,20.0,12.8,27.8,5.9,8.6,39,165.6
1975,8,16.3,26.4,6.2,20.2,12.4,35.9,4.5,6.9,29,182.7
1975,9,12.3,21.4,4.2,15.9,8.7,124.3,-1.6,9.9,46,120.3
1975,10,11.2,17.8,1.8,13.8,8.5,55.1,-1.0,9.3,42,87.4
1975,11,7.3,13.9,-0.6,10.0,4.6,54.3,-1.7,9.7,43,59.1
1975,12,5.9,11.4,-2.8,8.0,3.8,33.1,-4.8,10.5,39,34.6
1976,1,6.4,13.1,-1.2,8.6,4.2,66.1,-4.9,15.3,68,47.8
1976,2,6.0,13.5,0.4,8.3,3.7,29.3,-4.5,10.1,43,58.4
1976,3,6.0,12.9,-2.0,8.7,3.4,65.8,-8.4,11.7,47,89.1
1976,4,8.1,15.0,0.3,11.3,4.9,17.7,-3.6,9.0,42,170.1
1976,5,10.7,18.8,1.9,14.2,7.2,47.7,0.9,9.2,43,133.1
1976,6,15.7,25.1,6.2,19.8,11.6,22.5,4.7,7.9,36,218.3
1976,7,16.0,25.1,6.4,19.7,12.2,82.8,3.6,7.1,35,147.5
1976,8,16.2,24.6,8.1,20.4,12.0,6.6,3.9,5.4,33,259.9
1976,9,12.6,20.3,4.6,15.9,9.2,144.3,-1.4,8.9,49,98.7
1976,10,9.7,18.3,2.1,12.8,6.7,156.7,-0.9,8.4,53,87.9
1976,11,6.4,12.4,-2.9,9.4,3.5,39.1,-3.3,9.1,54,85.6
1976,12,3.4,9.1,-2.5,5.5,1.4,48.0,-6.7,8.8,43,36.8
1977,1,3.3,10.8,-6.9,5.9,0.7,57.8,-8.7,11.4,54,53.7
1977,2,5.6,10.7,-1.2,7.9,3.4,124.4,-4.2,11.0,45,48.0
1977,3,7.4,16.0,-1.1,10.0,4.8,57.3,-6.4,12.8,50,71.4
1977,4,7.2,15.5,-1.8,10.7,3.7,43.4,-4.5,12.7,55,160.8
1977,5,10.0,18.0,1.1,13.6,6.4,22.5,-2.0,7.6,46,252.6
1977,6,12.3,23.0,4.9,15.9,8.6,65.5,0.8,8.0,37,188.8
1977,7,15.5,23.8,7.1,19.1,11.9,26.1,3.8,8.6,41,189.8
1977,8,15.1,22.6,7.7,18.6,11.6,68.1,2.7,7.5,46,181.7
1977,9,13.0,21.7,4.5,16.1,9.9,29.2,0.1,10.0,43,95.8
1977,10,12.0,17.0,5.3,14.7,9.4,76.5,1.5,11.2,47,88.5
1977,11,5.8,16.1,-1.6,8.6,3.0,53.8,-8.4,13.3,62,71.3
1977,12,7.4,14.5,1.8,9.2,5.6,65.1,-7.4,12.0,53,36.1
1978,1,4.1,10.6,-2.6,6.6,1.6,59.4,-7.8,11.5,60,73.5
1978,2,3.9,13.0,-4.8,6.2,1.6,50.3,-9.9,11.0,54,60.1
1978,3,6.7,15.3,-1.6,10.1,3.3,63.0,-8.1,12.3,56,128.1
1978,4,6.8,13.3,-2.0,9.8,3.7,29.6,-4.8,8.6,42,137.5
1978,5,11.4,22.4,2.2,15.2,7.6,27.3,-0.8,5.6,33,190.1
1978,6,12.7,23.2,4.7,16.6,8.9,37.1,2.9,8.3,42,126.6
1978,7,14.3,22.2,7.0,18.1,10.5,50.5,3.2,8.7,43,134.7
1978,8,14.5,22.3,7.5,17.8,11.2,116.7,3.4,6.5,36,110.2
1978,9,14.0,22.0,6.4,17.6,10.4,38.4,4.3,10.8,50,115.0
1978,10,12.2,19.0,3.4,15.3,9.2,31.8,-0.9,8.0,37,105.9
1978,11,9.2,17.3,-2.3,12.1,6.2,64.1,-8.9,10.7,51,68.2
1978,12,6.0,13.9,-3.1,8.1,3.9,217.0,-10.3,11.7,52,43.5
1979,1,2.3,11.7,-8.1,5.0,-0.4,42.3,-11.5,11.2,48,77.9
1979,2,3.4,9.8,-4.4,5.7,1.0,83.4,-6.6,13.4,44,63.0
1979,3,4.8,12.8,-2.5,8.1,1.4,63.7,-6.7,14.6,55,100.4
1979,4,7.3,15.6,-1.9,10.6,4.0,53.1,-4.5,9.4,39,128.5
1979,5,9.0,21.0,-1.0,12.8,5.1,82.2,-3.9,7.7,34,167.6
1979,6,13.6,24.0,6.2,17.4,9.9,44.0,-0.7,7.7,37,169.4
1979,7,15.7,24.4,6.4,19.6,11.8,47.0,4.7,8.5,38,150.7
1979,8,14.2,23.5,6.2,18.1,10.3,96.5,2.5,9.0,45,170.9
1979,9,12.9,21.2,2.1,16.5,9.3,41.5,-0.4,10.1,48,131.2
1979,10,11.3,19.1,4.0,14.1,8.5,119.0,-2.0,9.1,44,89.7
1979,11,7.7,17.6,-1.0,10.9,4.6,51.4,-5.3,11.9,51,84.6
1979,12,5.6,13.6,-1.8,8.0,3.1,112.4,-6.4,12.1,53,62.4
1980,1,4.1,12.0,-3.5,6.5,1.7,115.2,-9.9,10.9,55,64.8
1980,2,6.4,12.6,-1.2,9.1,3.7,68.5,-4.0,8.6,43,50.2
1980,3,5.4,14.6,-3.6,8.5,2.2,73.7,-8.1,11.3,50,109.9
1980,4,8.8,17.2,1.2,12.8,4.7,8.2,-3.5,8.5,35,158.0
1980,5,11.0,21.3,3.0,14.7,7.3,41.0,-2.1,8.6,39,223.9
1980,6,13.0,21.6,5.6,16.4,9.6,79.0,3.1,9.2,47,120.2
1980,7,13.9,21.5,6.5,17.4,10.5,39.4,4.0,9.2,36,126.0
1980,8,15.1,22.0,7.3,18.5,11.7,97.8,0.5,8.1,42,142.6
1980,9,14.2,22.2,6.7,17.2,11.1,97.5,2.9,10.6,44,112.5
1980,10,9.1,17.0,1.3,12.2,6.0,113.7,-4.2,10.5,46,104.2
1980,11,7.4,15.4,-1.6,9.8,5.1,41.4,-5.2,12.7,50,67.8
1980,12,6.3,12.9,-2.2,9.0,3.7,49.7,-6.0,13.6,56,48.5
1981,1,6.1,13.0,-2.2,8.7,3.4,32.8,-4.0,12.0,49,59.1
1981,2,4.9,12.5,-1.6,7.3,2.5,48.4,-7.0,10.5,52,63.7
1981,3,8.2,15.9,1.1,11.2,5.3,101.6,-2.4,11.9,52,99.9
1981,4,7.9,15.6,0.1,11.0,4.7,49.0,-4.2,9.0,59,161.8
1981,5,10.7,19.0,0.8,14.2,7.2,92.3,-2.4,8.5,41,160.9
1981,6,13.1,22.2,5.1,16.6,9.5,77.1,1.5,9.7,48,137.8
1981,7,14.8,24.7,8.3,18.3,11.2,35.5,5.0,8.8,35,119.8
1981,8,16.0,22.9,7.0,19.7,12.3,11.6,4.1,6.6,41,140.7
1981,9,14.4,22.7,6.9,17.8,11.0,102.8,1.4,8.6,42,123.4
1981,10,7.6,15.2,0.0,11.2,3.9,109.3,-4.8,11.0,56,115.3
1981,11,8.3,16.0,0.4,11.3,5.3,48.8,-4.1,12.0,47,59.6
1981,12,3.1,10.8,-6.4,5.4,0.7,133.0,-10.7,10.5,66,44.6
1982,1,4.9,12.9,-7.2,7.3,2.5,50.2,-10.1,11.7,46,56.3
1982,2,6.3,14.5,-1.5,9.2,3.4,23.9,-4.6,11.6,47,60.3
1982,3,6.3,15.9,-1.3,10.2,2.5,45.4,-5.8,12.0,58,169.4
1982,4,9.0,16.7,0.0,12.9,5.0,19.5,-2.8,8.2,38,177.0
1982,5,10.8,20.3,1.0,14.7,6.8,59.6,-5.0,8.7,49,189.6
1982,6,14.1,21.0,7.9,17.6,10.5,102.2,3.8,7.5,42,174.6
1982,7,15.6,22.1,9.0,19.4,11.8,9.2,3.1,6.7,32,203.0
1982,8,14.9,23.7,7.0,18.9,10.8,65.6,2.9,9.9,41,162.3
1982,9,13.5,21.6,5.0,17.0,9.9,84.0,0.7,8.0,43,110.6
1982,10,10.2,16.8,2.4,13.4,7.1,88.2,-0.4,9.3,50,90.8
1982,11,7.2,15.3,-1.0,10.1,4.3,128.9,-3.9,12.0,53,63.9
1982,12,5.0,12.7,-2.6,7.9,2.2,70.3,-5.1,11.0,56,59.4
1983,1,6.7,14.2,-0.7,9.5,3.9,63.8,-4.8,15.7,55,50.9
1983,2,3.6,10.2,-1.4,5.7,1.4,44.8,-8.5,11.3,51,55.1
1983,3,7.1,13.6,-0.8,10.3,4.0,61.0,-4.5,10.5,51,71.2
1983,4,6.4,13.6,-2.1,10.0,2.7,67.1,-6.5,9.2,41,154.8
1983,5,9.7,16.4,2.6,12.7,6.6,79.1,-0.6,9.3,42,139.9
1983,6,13.6,21.4,6.1,17.3,10.0,54.6,4.6,8.2,39,154.6
1983,7,17.7,27.6,9.5,21.7,13.6,18.1,6.0,5.7,36,201.1
1983,8,16.9,26.8,8.1,20.7,13.1,45.4,6.5,5.7,33,158.6
1983,9,13.5,21.4,5.7,16.8,10.3,76.6,2.8,10.5,59,113.7
1983,10,10.5,20.0,-0.6,13.7,7.3,47.3,-3.1,12.5,53,113.8
1983,11,8.6,15.6,-1.4,10.7,6.5,21.3,-6.4,8.4,39,23.4
1983,12,7.5,14.4,0.1,10.0,5.0,123.2,-4.6,13.0,65,48.3
1984,1,3.9,12.5,-3.9,7.0,0.9,99.0,-9.1,15.6,71,70.7
1984,2,5.7,12.9,0.0,8.2,3.2,60.3,-5.1,11.3,69,59.4
1984,3,5.4,12.1,0.0,8.1,2.7,53.2,-5.8,8.7,54,78.0
1984,4,8.6,18.0,0.5,12.3,5.0,32.6,-6.6,8.2,37,173.4
1984,5,10.1,18.4,2.3,14.3,5.9,34.4,-1.9,6.5,33,218.9
1984,6,14.3,24.0,5.7,18.2,10.5,38.1,2.3,8.3,39,179.1
1984,7,16.1,26.0,7.5,20.7,11.6,30.8,3.4,6.9,33,249.6
1984,8,16.7,24.7,8.9,20.6,12.9,95.0,5.5,5.4,39,167.1
1984,9,13.2,22.1,5.2,16.6,9.8,76.7,1.5,8.5,38,118.9
1984,10,10.9,18.8,3.0,14.4,7.3,56.2,-2.6,9.4,67,108.9
1984,11,7.2,15.4,-1.7,10.2,4.3,97.2,-5.9,10.2,55,60.4
1984,12,6.1,13.4,-2.2,9.0,3.1,87.7,-4.7,10.3,44,48.0
1985,1,2.9,12.0,-3.5,5.6,0.2,66.5,-8.0,9.2,48,54.1
1985,2,5.0,12.3,-4.0,7.3,2.7,52.0,-9.0,11.7,45,73.3
1985,3,5.7,14.7,-2.4,9.0,2.3,72.5,-5.6,11.1,44,116.4
1985,4,8.7,17.1,-0.8,12.5,4.9,40.2,-3.5,11.5,48,137.3
1985,5,10.3,18.4,1.7,13.7,6.9,70.1,-1.0,8.2,39,158.8
1985,6,12.0,19.8,3.0,15.9,8.1,78.5,2.0,7.9,35,171.5
1985,7,15.1,22.2,7.8,18.8,11.3,107.2,5.5,8.3,38,124.9
1985,8,13.5,21.4,7.0,16.9,10.1,124.6,3.7,10.9,56,141.2
1985,9,14.5,23.9,5.6,18.1,11.0,38.2,4.6,8.7,46,121.6
1985,10,11.1,20.0,3.8,14.1,8.0,19.7,-1.0,6.4,46,74.2
1985,11,4.8,14.4,-2.9,8.1,1.5,33.5,-8.0,9.5,43,95.2
1985,12,7.0,16.2,-5.1,9.6,4.4,72.4,-7.1,11.6,53,51.9
1986,1,4.4,13.0,-3.8,7.3,1.5,103.4,-6.5,14.2,53,66.6
1986,2,1.8,5.7,-4.5,3.6,-0.1,10.2,-9.3,12.8,42,65.8
1986,3,6.0,14.6,-5.4,9.5,2.5,64.7,-9.4,14.0,61,128.8
1986,4,5.9,14.4,-1.1,9.5,2.4,48.2,-4.7,10.8,45,159.5
1986,5,10.4,17.9,2.8,14.0,6.8,62.5,-0.5,12.5,58,174.6
1986,6,13.6,21.9,3.9,17.4,9.7,82.1,1.6,7.9,43,176.6
1986,7,14.8,25.2,7.0,18.1,11.4,57.5,4.8,8.2,37,93.4
1986,8,12.2,19.8,4.1,15.8,8.6,158.7,2.4,9.2,55,140.3
1986,9,11.8,21.5,2.1,15.9,7.7,3.6,-1.2,7.2,41,195.4
1986,10,10.6,20.0,2.5,14.3,7.0,57.0,-1.9,10.0,54,129.5
1986,11,7.6,14.6,-1.0,10.9,4.3,102.2,-3.0,12.9,54,87.2
1986,12,6.0,14.2,-2.1,9.2,2.8,71.8,-5.1,13.6,51,60.5
1987,1,3.8,11.1,-5.2,6.1,1.6,36.6,-8.4,9.5,48,44.4
1987,2,5.1,14.6,-4.2,8.2,1.9,34.5,-7.2,8.9,57,68.4
1987,3,5.3,15.3,-2.6,8.6,1.9,56.6,-5.5,11.4,60,89.3
1987,4,9.5,20.5,0.4,13.2,5.8,71.8,-4.0,8.9,39,115.3
1987,5,10.3,19.3,2.9,14.4,6.3,21.7,-1.4,9.6,53,189.2
1987,6,12.2,23.3,2.9,15.7,8.8,112.5,0.6,6.8,41,104.5
1987,7,15.8,24.7,7.7,19.7,11.9,32.6,3.7,8.1,37,163.1
1987,8,15.2,26.6,6.3,19.1,11.4,87.4,1.8,7.1,34,127.9
1987,9,12.9,20.2,3.4,16.6,9.2,74.8,-1.0,8.4,48,156.8
1987,10,9.3,15.2,0.2,12.3,6.2,124.5,-2.4,9.1,48,95.7
1987,11,7.1,14.1,-0.6,9.7,4.4,47.8,-4.8,9.8,52,50.9
1987,12,7.8,14.2,-1.1,9.8,5.8,39.5,-7.6,11.3,45,34.0
1988,1,5.7,13.1,-0.3,8.3,3.1,118.3,-10.0,12.2,54,68.6
1988,2,5.1,11.3,-1.0,7.9,2.3,34.3,-4.0,12.8,73,81.8
1988,3,7.0,13.2,-1.4,10.2,3.7,85.4,-4.9,11.5,54,101.1
1988,4,8.8,16.8,-0.2,12.2,5.5,24.9,-3.4,6.3,30,158.4
1988,5,11.2,19.0,3.4,15.0,7.4,72.5,0.9,8.2,43,195.7
1988,6,14.4,23.5,6.0,18.3,10.5,38.1,2.2,5.9,30,173.2
1988,7,14.2,20.6,8.5,17.8,10.6,80.3,5.8,11.4,54,135.5
1988,8,14.5,22.4,8.5,18.3,10.7,54.5,3.8,10.0,49,135.4
1988,9,12.6,20.7,2.5,16.0,9.2,41.1,0.0,10.5,49,120.8
1988,10,10.5,17.0,1.8,13.5,7.6,79.1,-4.7,10.5,53,97.4
1988,11,7.0,14.1,-2.7,10.2,3.8,23.5,-6.9,7.4,38,85.1
1988,12,8.3,13.6,1.0,10.5,6.1,40.5,-2.0,12.4,48,55.0
1989,1,7.6,13.1,0.4,10.2,4.9,27.5,-3.5,12.4,54,70.3
1989,2,6.4,13.2,-1.5,9.6,3.2,42.6,-5.5,14.4,58,95.2
1989,3,7.4,15.2,-1.6,11.3,3.5,54.7,-6.7,12.2,55,113.3
1989,4,6.8,15.5,-2.1,10.5,3.1,79.3,-4.7,7.6,43,137.0
1989,5,11.7,22.3,2.0,16.1,7.3,13.1,-1.9,6.1,40,238.0
1989,6,13.8,24.5,2.7,18.2,9.3,67.8,-0.9,5.1,41,227.7
1989,7,17.7,27.5,8.9,22.4,13.0,9.6,6.4,4.8,29,253.5
1989,8,15.7,23.5,5.6,19.8,11.6,81.9,2.8,7.3,42,133.5
1989,9,13.6,20.7,5.6,16.9,10.3,25.1,1.8,8.1,50,99.7
1989,10,11.9,18.4,6.1,14.7,9.1,62.1,0.1,10.8,43,81.4
1989,11,7.9,13.7,-0.1,10.2,5.6,35.6,-6.0,8.6,43,57.1
1989,12,6.3,13.7,-1.4,8.4,4.2,55.9,-7.2,8.0,56,31.9
1990,1,7.2,14.3,0.2,10.0,4.4,68.3,-3.7,14.3,58,71.7
1990,2,7.2,15.3,-0.6,10.1,4.2,108.8,-6.7,17.7,71,68.7
1990,3,8.7,17.1,-1.2,11.9,5.6,10.2,-4.3,14.3,50,90.7
1990,4,8.0,17.1,-2.9,12.2,3.8,24.2,-6.0,10.3,57,164.9
1990,5,12.4,23.4,4.4,16.5,8.4,39.5,-1.2,5.2,33,212.7
1990,6,13.1,21.0,5.6,16.7,9.5,71.3,1.9,7.8,42,142.7
1990,7,15.8,25.0,5.9,19.8,11.8,48.0,4.2,8.2,42,239.8
1990,8,16.7,28.7,8.5,20.6,12.7,49.8,4.3,8.0,44,141.2
1990,9,12.7,23.0,2.9,16.9,8.4,16.4,-2.0,7.7,45,140.6
1990,10,11.5,17.7,3.1,14.0,8.9,149.2,-0.7,11.3,49,76.7
1990,11,7.5,18.0,-0.7,10.3,4.7,64.0,-5.8,9.4,46,83.1
1990,12,5.2,12.6,-2.0,7.7,2.6,78.7,-6.8,11.1,57,61.2
1991,1,4.4,13.0,-2.6,6.8,2.0,71.4,-8.0,11.8,66,78.9
1991,2,3.7,12.8,-5.3,6.6,0.8,59.0,-10.6,9.4,45,54.4
1991,3,7.9,15.2,-1.2,10.6,5.1,91.1,-3.7,9.4,50,82.7
1991,4,7.8,13.6,0.0,11.1,4.4,92.3,-1.2,12.4,46,135.5
1991,5,11.7,21.5,3.1,15.6,7.8,3.6,-1.3,8.5,31,168.5
1991,6,12.2,19.6,2.8,15.7,8.7,79.8,-0.5,9.8,53,144.0
1991,7,16.0,22.9,10.0,19.4,12.6,26.4,7.2,9.9,40,143.4
1991,8,16.2,24.3,6.8,20.1,12.3,36.9,4.0,8.3,35,155.2
1991,9,14.1,24.0,2.3,18.1,10.1,42.8,0.5,9.3,48,149.3
1991,10,9.8,18.2,2.6,12.6,7.1,85.6,-0.3,10.5,51,77.4
1991,11,6.9,13.3,0.1,9.7,4.1,50.3,-4.2,13.2,50,60.2
1991,12,7.0,14.0,-0.3,9.3,4.7,38.1,-5.4,11.0,60,40.5
1992,1,5.9,13.2,-2.2,8.4,3.4,32.9,-8.0,8.6,44,52.5
1992,2,7.1,12.7,0.0,10.0,4.2,23.9,-4.5,12.0,45,63.8
1992,3,7.9,15.2,-0.6,11.0,4.8,65.1,-2.0,14.0,53,67.3
1992,4,8.4,17.2,0.8,11.8,5.1,70.3,-2.0,11.8,45,104.4
1992,5,12.2,20.4,2.8,15.9,8.5,39.5,-0.3,10.2,44,204.0
1992,6,15.1,23.8,8.0,18.9,11.3,37.4,5.2,7.3,28,190.6
1992,7,15.6,22.7,8.3,19.1,12.1,69.9,5.0,8.6,36,158.9
1992,8,14.3,21.0,6.5,18.1,10.6,85.3,3.3,10.7,44,167.5
1992,9,12.3,20.0,3.7,15.6,9.0,64.2,1.4,10.1,43,98.0
1992,10,7.8,16.4,-0.4,10.8,4.7,29.7,-3.5,9.4,40,99.8
